"URL A","URL B","Similarity","Class"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-skladiv-cherkasy","4.5%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-mebliv-cherkasy","4.4%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","4.4%","OK"
"/prybyrannya-mahazyniv-supermarketiv-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","4.4%","OK"
"/himchystka-krisel-cherkasy","/dezinfektsiya-prymishchen-cherkasy","4.4%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/rehulyarne-prybyrannya-biznesu-cherkasy","4.3%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/dezinfektsiya-prymishchen-cherkasy","4.2%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-krisel-cherkasy","4.2%","OK"
"/prybyrannya-ofisiv-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","4.2%","OK"
"/prybyrannya-kvartyr-cherkasy","/myttya-vikon-cherkasy","4.1%","OK"
"/generalne-prybyrannya-kvartyry-cherkasy","/himchystka-avto-cherkasy","4.1%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/himchystka-kylymiv-cherkasy","4.1%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/himchystka-kovrolinu-cherkasy","4.1%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-kovrolinu-cherkasy","4.1%","OK"
"/prybyrannya-prylegloyi-terytoriyi-cherkasy","/himchystka-stiltsiv-cherkasy","4.1%","OK"
"/himchystka-matratsa-cherkasy","/himchystka-kovrolinu-cherkasy","4.1%","OK"
"/rehulyarne-prybyrannya-biznesu-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","4.1%","OK"
"/prybyrannya-budynkiv-cherkasy","/himchystka-mebliv-cherkasy","4.0%","OK"
"/himchystka-mebliv-cherkasy","/himchystka-avto-cherkasy","4.0%","OK"
